id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id,counterpress
bceb2a01-1839-4eee-ab0a-958a69be5d81,907,1,00:20:37.120,20,37,Dribbled Past,29,Georgia,Regular Play,Georgia,Otar Kakabadze,Right Wing Back,"[19.8, 70.2]",0.0,['3ea0bba7-411a-4ab3-9728-49e88e3588ae'],3941018,2138,2138,25036,
e9a30948-b9a7-4feb-a066-040bfcfab627,913,1,00:20:40.570,20,40,Dribbled Past,29,Georgia,Regular Play,Spain,Pedro González López,Right Center Midfield,"[92.1, 11.0]",0.0,"['a216c561-2cf5-4834-b795-ed30d3408911', 'e243a9df-b16b-4b1a-a748-941ae393672a']",3941018,2138,772,30486,
4037be15-8887-409a-be1a-db83cb802bf7,917,1,00:20:41.439,20,41,Dribbled Past,29,Georgia,Regular Play,Spain,Marc Cucurella Saseta,Left Back,"[85.3, 15.7]",0.0,"['05942353-44e3-4e2b-89be-6970fb411733', '7127d220-801f-406a-ab3e-b8c96f5d3a2b']",3941018,2138,772,17620,
60d1de51-c9f7-4f67-9646-875cd80a39e2,933,1,00:20:47.321,20,47,Dribbled Past,29,Georgia,Regular Play,Spain,Nicholas Williams Arthuer,Left Wing,"[90.0, 7.6]",0.0,"['63f5546a-00ca-40df-a116-8d39ce1075a0', 'bd13f67f-ec05-44f0-a466-d9de6d25e8ef']",3941018,2138,772,68574,
218b3f58-200d-45e9-90ee-9eb5be7d328e,1083,1,00:23:24.618,23,24,Dribbled Past,34,Georgia,Regular Play,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,"[94.0, 43.2]",0.0,"['8fab6863-076a-4b29-8fee-e87abefe6f7d', 'f4da076a-c128-41f1-a75d-68754b090cda']",3941018,2138,772,316046,True
de112b7e-f8c7-4b87-b644-2d3ac11dc809,1089,1,00:23:26.764,23,26,Dribbled Past,34,Georgia,Regular Play,Spain,Fabián Ruiz Peña,Left Center Midfield,"[87.5, 50.2]",0.0,"['2fc30519-1b18-48a1-885b-d428afcea43a', 'b7ce818e-9c2f-4b8f-9beb-8d075d985932']",3941018,2138,772,6655,True
cc71b0be-b3f3-46b6-b8a8-de38dc4ef8d4,1268,1,00:27:27.337,27,27,Dribbled Past,41,Spain,Regular Play,Spain,Marc Cucurella Saseta,Left Back,"[90.4, 16.8]",0.0,"['6a9cf29d-ffb0-48ba-8ff8-2160078c9f5e', 'b9e26739-a017-4f49-8fc5-a6d05c65bf55']",3941018,772,772,17620,True
91629646-43aa-48c3-94c3-2d4fceea8712,1368,1,00:29:30.309,29,30,Dribbled Past,49,Georgia,Regular Play,Spain,Daniel Carvajal Ramos,Right Back,"[22.8, 52.5]",0.0,"['1be88048-7443-4a60-b83a-9677cbbef178', '424c8bf1-3dd7-4d51-a2da-08fe7a446781', 'fec0002c-3709-478e-a9ac-773a92159965']",3941018,2138,772,5721,True
9d9265cb-62f3-4dfe-82c3-c0cfc4ef6c56,1426,1,00:30:38.528,30,38,Dribbled Past,50,Spain,Regular Play,Georgia,Giorgi Gvelesiani,Right Center Back,"[13.8, 50.9]",0.0,"['2a941174-b405-4b8c-bed8-5a219e8047d6', 'c2918b35-d7ce-4803-9317-64060067c750']",3941018,772,2138,398886,
b352f02c-9c19-4918-8563-e495cc1de086,1551,1,00:33:07.931,33,7,Dribbled Past,56,Georgia,Regular Play,Spain,Robin Aime Robert Le Normand,Right Center Back,"[16.3, 62.8]",0.0,['9493af15-3802-45dc-8a40-28450ae7942a'],3941018,2138,772,22128,
87b9e581-1883-45bd-a31b-df456e0347b2,1665,1,00:37:35.331,37,35,Dribbled Past,64,Spain,Regular Play,Georgia,Giorgi Gvelesiani,Right Center Back,"[90.8, 62.0]",0.0,"['1411ae56-4663-482c-9a7a-65869eeeae6a', '42a1b563-fe70-49f0-8291-44aa277f75c5', 'c390586d-80dd-45a2-add0-97b7d31fe80f']",3941018,772,2138,398886,True
ca5d8379-0934-4ba2-a7ce-92eafcd2dce8,2346,2,00:09:17.386,54,17,Dribbled Past,90,Spain,Regular Play,Georgia,Khvicha Kvaratskhelia,Left Center Forward,"[82.9, 12.0]",0.0,"['a2755850-8c11-4619-bad0-07865f08f2ed', 'c7b03145-9e67-4a2a-a807-b69345043379']",3941018,772,2138,38229,
1477916a-3795-4f93-8732-8acc613b08db,2386,2,00:10:13.923,55,13,Dribbled Past,91,Georgia,From Goal Kick,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,"[57.0, 35.7]",0.0,"['9ea30465-83a0-4626-99a9-7bf05496930c', 'ab086912-e685-4b72-813f-e139c7bc1eeb']",3941018,2138,772,316046,
633c273e-1cc1-4be9-a92c-546e5aa692ee,2467,2,00:12:33.217,57,33,Dribbled Past,93,Spain,From Free Kick,Georgia,Luka Lochoshvili,Left Wing Back,"[15.1, 7.4]",0.0,"['0595c5b7-591b-4ed4-a236-b4396823a7b8', '3b84f2bb-4888-4026-8941-f8a5b97e4752']",3941018,772,2138,48178,
321d4987-b414-49f9-bb28-5e61fad3dc04,2470,2,00:12:34.437,57,34,Dribbled Past,93,Spain,From Free Kick,Georgia,Luka Lochoshvili,Left Wing Back,"[15.5, 8.8]",0.0,"['0595c5b7-591b-4ed4-a236-b4396823a7b8', '2dc40d12-4f0a-440e-ab75-9c3cca5415f5', 'd395fe7e-88d0-482f-9018-3e62ebfaa6db']",3941018,772,2138,48178,
4886c050-acc7-4e1b-8033-4cd3715bc2c8,3243,2,00:29:28.990,74,28,Dribbled Past,116,Spain,From Counter,Georgia,Zuriko Davitashvili,Left Center Midfield,"[93.4, 37.5]",0.0,"['100977d1-0da9-450a-a13f-024b9ef40209', '7a314fbc-7cde-4ad8-9301-7bd58967b169']",3941018,772,2138,44183,True
5f55ab86-308d-458a-a491-b88ae4f5bd15,3250,2,00:29:38.312,74,38,Dribbled Past,116,Spain,From Counter,Georgia,Giorgi Gvelesiani,Right Center Back,"[18.7, 58.7]",0.0,"['484ea098-ce25-454f-924d-426c5f0ebc78', 'ce13fd4a-6d20-4545-81e1-cc88e0ff3f70']",3941018,772,2138,398886,
a9bc6c3e-0d63-48d6-aa98-250fbf9b9624,3299,2,00:31:57.504,76,57,Dribbled Past,118,Spain,Regular Play,Georgia,Guram Kashia,Center Back,"[14.2, 52.7]",0.0,"['2207ada4-d820-413c-a649-39f8efeb6f43', 'd399e490-3f5c-487c-af3a-fae9ddb75f61']",3941018,772,2138,7839,
d10d0c3b-5b10-4c72-8c67-070ddbb2b849,3514,2,00:37:34.945,82,34,Dribbled Past,128,Spain,Regular Play,Georgia,Lasha Dvali,Left Center Back,"[19.2, 41.2]",0.0,"['0e8f2058-d650-449a-bdc0-74341b0c58d0', '1ca17fbb-3ab3-4deb-a9ea-09f63ed45f54', '43e5326d-df04-420a-93c5-eeff821d1c1f']",3941018,772,2138,7655,
babe50d7-0e5c-4d3c-8652-b032e550e1ac,3715,2,00:41:53.421,86,53,Dribbled Past,133,Georgia,Regular Play,Spain,Robin Aime Robert Le Normand,Right Center Back,"[15.6, 55.5]",0.0,"['cee1876a-8b29-4c7b-84c7-50aef563ef43', 'f42c426a-58fb-417f-81a3-68175a78ccbb']",3941018,2138,772,22128,
ab4430d1-44d0-4bfe-861f-943f8796ff70,3835,2,00:44:34.380,89,34,Dribbled Past,137,Spain,From Keeper,Georgia,Nika Kvekveskiri,Center Defensive Midfield,"[19.7, 22.2]",0.0,"['8ed02c62-d343-4fa0-8d26-fc098ef8a621', '94280f11-1f36-477e-90bd-842b1b825b0a']",3941018,772,2138,46802,
9c08c872-d674-4e0a-9132-8af0ad5ddb4a,255,1,00:05:50.172,5,50,Dribbled Past,10,England,From Goal Kick,Slovakia,Dávid Hancko,Left Back,"[9.8, 4.0]",0.0,"['83beccf7-dc25-4e34-9cf7-652c5bad3abc', 'ff5e1bc5-0004-4da4-9e97-2942485e2ca2']",3941017,768,908,16879,
4abf6ed5-c826-4b72-8b98-d81b98b8aade,262,1,00:05:55.149,5,55,Dribbled Past,10,England,From Goal Kick,Slovakia,Stanislav Lobotka,Center Defensive Midfield,"[15.8, 25.5]",0.0,"['5189ada8-636a-40f8-bd9c-0184a3e241e7', '70e56f3e-84ee-4840-80b8-3879af8a066e', '95366178-2ca2-4c38-8f85-a6cd36082caa']",3941017,768,908,6798,
1bca6865-f198-4753-a939-e89b613d4fd4,335,1,00:07:28.198,7,28,Dribbled Past,11,Slovakia,From Free Kick,England,Kobbie Mainoo,Right Defensive Midfield,"[18.9, 46.0]",0.0,"['0466d64d-cac9-4fa1-b291-c62195d9b9f1', '2a6a8441-ed40-4366-94fe-7e44c1068585', 'efa56f64-b522-4223-adf4-dcc0a55cc300']",3941017,908,768,99174,
11b5228b-e794-4c65-9f5e-5ffe8d1573a3,463,1,00:10:07.114,10,7,Dribbled Past,14,England,Regular Play,Slovakia,Ondrej Duda,Left Center Midfield,"[36.8, 28.1]",0.0,"['065c3a2e-d671-446a-9d59-1a30943e087f', '93a30af3-338f-4785-a4d7-9546ab0545f4']",3941017,768,908,8967,
ea2704a9-1fd1-446e-8946-06eab2b8d96b,702,1,00:16:02.096,16,2,Dribbled Past,21,Slovakia,From Throw In,England,Kyle Walker,Right Back,"[91.9, 77.4]",0.0,"['393c954e-dea9-469f-a2da-2f019dc1f14f', '43271f1e-46af-42ae-bbb9-d44d2c100e65', '6bb1e660-94fe-4817-a31b-6888e5f038e7']",3941017,908,768,3205,
4259ef4b-eaf3-4b89-b92c-238dfa797981,976,1,00:22:02.080,22,2,Dribbled Past,31,England,Regular Play,Slovakia,Milan Škriniar,Left Center Back,"[20.0, 52.8]",0.0,"['24abb713-87e3-44d1-88f6-be8756401bab', 'e228ec9c-06f0-4fd6-a3db-1f15b855249d']",3941017,768,908,6990,
841684ad-b8f5-419b-81ad-f360feaed2e9,1533,1,00:37:23.220,37,23,Dribbled Past,50,England,Regular Play,Slovakia,Dávid Hancko,Left Back,"[35.2, 20.1]",0.0,"['64d1358d-dad1-495d-a964-a1b202fd4d52', '84481198-6a4c-4d91-9c22-dd50de5fadd4']",3941017,768,908,16879,True
4f322272-d1da-4e3f-8ed9-3d133948faa3,2247,2,00:10:33.933,55,33,Dribbled Past,81,England,Regular Play,Slovakia,Lukáš Haraslín,Left Wing,"[20.2, 7.0]",0.0,"['6734df77-49f7-4407-b46c-ebd918b88c5c', 'f50e09b1-6e82-4342-b8d4-f426e0c05bcb']",3941017,768,908,7975,
1e2f9e22-7028-4505-b743-24593001165d,2399,2,00:13:10.599,58,10,Dribbled Past,87,England,Regular Play,Slovakia,Ivan Schranz,Right Wing,"[37.1, 38.8]",0.0,"['7ed03440-1f98-45a3-bdb6-b0b0043750dc', 'a9c59082-7454-47f4-8bf9-a1189411cb2d']",3941017,768,908,28032,
b493a313-8d63-4824-b435-c04a894b17dc,2480,2,00:17:09.589,62,9,Dribbled Past,91,England,Regular Play,Slovakia,Ivan Schranz,Right Wing,"[23.4, 74.8]",0.0,"['5da55680-f24f-4514-8eca-7ca754ef9999', 'f8131b6a-5828-4d6a-b2dc-9366c694d462']",3941017,768,908,28032,
fc6de211-5b05-43f1-98ab-b3ba8cc736e8,3380,2,00:41:52.837,86,52,Dribbled Past,128,England,From Keeper,Slovakia,Tomáš Suslov,Left Wing,"[86.0, 15.8]",0.0,"['54fc9a14-f7d6-4eb9-a73a-07e50ae28346', 'd931d3a8-b69e-4de0-8b10-7d2e76a8fc64']",3941017,768,908,35653,True
8e816450-7cf2-4727-b9a7-50dd810f0e41,3890,3,00:06:35.556,96,35,Dribbled Past,151,England,Regular Play,Slovakia,Dávid Hancko,Left Wing Back,"[118.1, 7.2]",0.0,"['11cc6de0-4c14-4b90-b2cc-c79984e55e00', '4d4e1ad0-5e93-4c01-a80e-ee526c4e5294']",3941017,768,908,16879,True
70126a56-1682-496f-9276-14bed0fb1cad,4240,3,00:15:57.251,105,57,Dribbled Past,167,England,From Goal Kick,Slovakia,Dávid Hancko,Left Wing Back,"[19.8, 6.5]",0.0,"['e4ee73d8-5990-4076-800e-296af536447e', 'e988588c-a9cf-48ac-9005-278899155db2']",3941017,768,908,16879,
2db56a76-8c62-4e1c-a8d7-51269e7a9e9f,262,1,00:06:56.215,6,56,Dribbled Past,13,Denmark,Regular Play,Serbia,Lazar Samardžić,Right Wing,"[59.5, 5.7]",0.0,"['6234a8e5-b513-4b3e-95da-e5c664eb50c0', 'ba78428e-2367-4a91-a22a-c7338abb7799']",3930182,776,786,40735,True
