match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3930173,2024-06-21,22:00:00.000,Europe - UEFA Euro,2024,Netherlands,France,0,0,available,available,2024-07-12T19:37:47.584481,2024-07-12T19:39:43.381031,2,Group Stage,Trainingszentrum RB Leipzig Platz 1,Anthony Taylor,Ronald Koeman,Didier Deschamps,1.1.0,2,2
3930172,2024-06-20,22:00:00.000,Europe - UEFA Euro,2024,Spain,Italy,1,0,available,available,2024-07-12T00:15:20.599402,2024-07-12T00:16:51.275112,2,Group Stage,VELTINS-Arena,Slavko Vinčić,Luis de la Fuente Castillo,Luciano Spalletti,1.1.0,2,2
3930167,2024-06-19,16:00:00.000,Europe - UEFA Euro,2024,Croatia,Albania,2,2,available,available,2024-07-11T08:16:46.595970,2024-07-11T08:18:46.582123,2,Group Stage,Volksparkstadion,François Letexier,Zlatko Dalić,Sylvio Mendes Campos Junior,1.1.0,2,2
3930168,2024-06-19,19:00:00.000,Europe - UEFA Euro,2024,Germany,Hungary,2,0,available,available,2024-07-11T14:19:14.279155,2024-07-11T14:24:30.771631,2,Group Stage,MHPArena,Danny Desmond Makkelie,Julian Nagelsmann,Marco Rossi,1.1.0,2,2
3930165,2024-06-17,22:00:00.000,Europe - UEFA Euro,2024,Austria,France,0,1,available,available,2024-07-13T18:17:49.004138,2024-07-13T18:19:14.500227,1,Group Stage,Merkur Spiel-Arena,Jesús Gil Manzano,Ralf Rangnick,Didier Deschamps,1.1.0,2,2
3930164,2024-06-17,19:00:00.000,Europe - UEFA Euro,2024,Belgium,Slovakia,0,1,available,available,2024-07-13T23:57:02.143146,2024-07-14T00:00:18.546176,1,Group Stage,Deutsche Bank Park,Halil Umut Meler,Domenico Tedesco,Francesco Calzona,1.1.0,2,2
3930161,2024-06-15,22:00:00.000,Europe - UEFA Euro,2024,Italy,Albania,2,1,available,available,2024-07-12T05:15:04.821436,2024-07-12T05:16:16.043874,1,Group Stage,Signal-Iduna-Park,Felix Zwayer,Luciano Spalletti,Sylvio Mendes Campos Junior,1.1.0,2,2
3938637,2024-06-16,16:00:00.000,Europe - UEFA Euro,2024,Poland,Netherlands,1,2,available,available,2024-07-12T03:37:17.747730,2024-07-12T03:39:53.010211,1,Group Stage,Volksparkstadion,Artur Manuel Ribeiro Soares Dias,Michał Probierz,Ronald Koeman,1.1.0,2,2
3938640,2024-06-21,16:00:00.000,Europe - UEFA Euro,2024,Slovakia,Ukraine,1,2,available,available,2024-07-12T18:52:43.723907,2024-07-12T18:56:00.519961,2,Group Stage,Merkur Spiel-Arena,Michael Oliver,Francesco Calzona,Sergiy Rebrov,1.1.0,2,2
3938642,2024-06-22,16:00:00.000,Europe - UEFA Euro,2024,Georgia,Czech Republic,1,1,available,available,2024-07-09T12:50:20.740381,2024-07-09T12:53:31.025418,2,Group Stage,Volksparkstadion,Daniel Siebert,Willy Sagnol,Ivan Hašek,1.1.0,2,2
