id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,substitution_outcome,substitution_replacement,possession_team_id,team_id,player_id,substitution_outcome_id,substitution_replacement_id,off_camera
2bad159a-1476-4ecb-ad3b-85de458522c9,3209,2,00:47:58.824,92,58,Substitution,148,Spain,Regular Play,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,0.0,3942752,Tactical,Ferrán Torres García,772,772,316046,103,6748,
cb077e09-1a66-4e52-a375-7f54bbdccbed,3210,2,00:48:14.891,93,14,Substitution,148,Spain,Regular Play,Spain,Nicholas Williams Arthuer,Left Wing,0.0,3942752,Tactical,Martín Zubimendi Ibáñez,772,772,68574,103,24921,
178702ab-b5f7-4548-8454-edf5ddf1469b,1872,2,00:00:00.000,45,0,Substitution,62,Turkey,Regular Play,Netherlands,Steven Bergwijn,Right Wing,0.0,3942382,Tactical,Wout Weghorst,909,941,8259,103,7829,True
1daa7e3b-f99e-4281-8ca3-c284ea59e77b,2787,2,00:27:42.501,72,42,Substitution,101,Turkey,From Free Kick,Netherlands,Tijjani Reijnders,Left Defensive Midfield,0.0,3942382,Tactical,Joey Veerman,909,941,21582,103,21633,
1eba50dc-33f2-4189-a353-c6bb9e48f461,2788,2,00:28:01.367,73,1,Substitution,101,Turkey,From Free Kick,Netherlands,Nathan Aké,Left Back,0.0,3942382,Tactical,Micky van de Ven,909,941,3306,103,32547,
4890b434-66bd-454e-8356-2e1d446213e2,2908,2,00:31:36.413,76,36,Substitution,103,Netherlands,From Corner,Turkey,Kenan Yildiz,Left Wing,0.0,3942382,Tactical,Muhammed Kerem Aktürkoğlu,941,909,151813,103,49689,
358c60f8-ae27-4204-b211-6dc3238f3048,2909,2,00:31:45.454,76,45,Substitution,103,Netherlands,From Corner,Turkey,Salih Özcan,Right Defensive Midfield,0.0,3942382,Tactical,Okay Yokuşlu,941,909,9085,103,12555,
37ec3cef-a1dc-411c-a72f-88f44c844f20,2973,2,00:36:17.733,81,17,Substitution,105,Netherlands,Regular Play,Turkey,Mert Müldür,Right Wing Back,0.0,3942382,Tactical,Mehmet Zeki Çelik,941,909,10826,103,10349,
b62e4f06-7768-4386-9140-052cdab53644,2974,2,00:36:30.301,81,30,Substitution,105,Netherlands,Regular Play,Turkey,Samet Akaydin,Center Back,0.0,3942382,Injury,Cenk Tosun,941,909,133305,102,3648,
74cdf65e-899f-4177-871c-694bea69fbb3,3185,2,00:41:43.892,86,43,Substitution,113,Netherlands,Regular Play,Netherlands,Memphis Depay,Center Attacking Midfield,0.0,3942382,Tactical,Jeremie Frimpong,941,941,2988,103,32712,
016b69c3-59c8-4329-81d9-f90cc93f88c5,3186,2,00:41:47.208,86,47,Substitution,113,Netherlands,Regular Play,Netherlands,Xavi Simons,Right Wing,0.0,3942382,Tactical,Joshua Zirkzee,941,941,39167,103,33281,
4a16cb3e-d62c-4858-bfa4-f1579353ac1b,3251,2,00:43:22.982,88,22,Substitution,115,Turkey,From Throw In,Turkey,Kaan Ayhan,Right Center Back,0.0,3942382,Tactical,Semih Kılıçsoy,909,909,12293,103,149576,
05dbfa43-ded0-4f47-9b79-3aada5645c1a,2826,2,00:21:03.845,66,3,Substitution,100,France,Regular Play,France,Antoine Griezmann,Center Attacking Midfield,0.0,3942349,Tactical,Ousmane Dembélé,771,771,5487,103,5477,
c6b3c1e0-a4ae-4f2a-a0f6-1c1dcbf1110b,3174,2,00:28:38.439,73,38,Substitution,107,France,From Throw In,Portugal,Bruno Miguel Borges Fernandes,Center Attacking Midfield,0.0,3942349,Tactical,Francisco Fernandes Conceição,771,780,5204,103,39624,
81f7bf6e-dac4-4561-a134-fc2558eaae16,3175,2,00:28:59.519,73,59,Substitution,107,France,From Throw In,Portugal,João Pedro Cavaco Cancelo,Right Back,0.0,3942349,Tactical,Nélson Cabral Semedo,771,780,7005,103,6374,
21bf691c-8f3e-44df-9186-3440f054c293,3577,2,00:40:22.182,85,22,Substitution,119,Portugal,From Free Kick,France,Randal Kolo Muani,Center Forward,0.0,3942349,Tactical,Marcus Thuram,780,771,22097,103,2972,
9a59b673-bc54-4363-82f0-0cf19f179690,3771,2,00:46:13.945,91,13,Substitution,129,France,From Corner,Portugal,João Maria Lobo Alves Palhinha Gonçalves,Right Defensive Midfield,0.0,3942349,Tactical,Rúben Diogo Da Silva Neves,771,780,12169,103,9927,
