id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,off_camera,team,player,position,duration,match_id,bad_behaviour_card,possession_team_id,team_id,player_id
8078b86e-476d-4cea-a1a4-8f4cf40d721e,1035,1,00:26:03.041,26,3,Bad Behaviour,41,Germany,Regular Play,,Germany,Antonio Rüdiger,Right Center Back,0.0,3930168,Yellow Card,770,770,3167
a4d8f344-d387-4541-a201-e2dcf4d3d598,3877,2,00:47:38.689,92,38,Bad Behaviour,147,Hungary,Regular Play,True,Hungary,Dominik Szoboszlai,Right Center Midfield,0.0,3930168,Yellow Card,916,916,21209
16875063-326f-44aa-bd2d-2312d246154a,3257,2,00:38:37.737,83,37,Bad Behaviour,149,France,Regular Play,,Austria,Konrad Laimer,Right Defensive Midfield,0.0,3930165,Yellow Card,771,915,8506
7604e1b1-b3bf-4282-8234-b7246989cbe4,3329,2,00:44:33.359,89,33,Bad Behaviour,153,Austria,From Throw In,,France,Kylian Mbappé Lottin,Center Forward,0.0,3930165,Yellow Card,915,771,3009
19c18a85-53dd-403a-8012-9c49aced463d,2225,2,00:05:59.193,50,59,Bad Behaviour,70,Albania,From Keeper,,Albania,Armando Broja,Center Forward,0.0,3930161,Yellow Card,906,906,36885
773c2656-def6-4c98-8e76-eb475ddc037a,2810,2,00:36:10.050,81,10,Bad Behaviour,147,Georgia,From Throw In,,Georgia,Giorgi Gvelesiani,Right Center Back,0.0,3938642,Yellow Card,2138,2138,398886
e13d84e4-befc-4a1a-ac12-3e765f00f636,3294,2,00:49:07.326,94,7,Bad Behaviour,172,Czech Republic,Regular Play,,Georgia,Giorgi Kochorashvili,Left Defensive Midfield,0.0,3938642,Yellow Card,912,2138,41202
de0685f4-9845-4dae-a4c3-1f5be3ec7818,2549,2,00:24:03.865,69,3,Bad Behaviour,134,Poland,Regular Play,,Austria,Marko Arnautović,Center Forward,0.0,3938641,Yellow Card,789,915,3325
55416bf3-3631-46a5-bf07-dbc428205f8c,1242,1,00:27:32.566,27,32,Bad Behaviour,40,Portugal,From Corner,True,Portugal,Cristiano Ronaldo dos Santos Aveiro,Center Forward,0.0,3938644,Yellow Card,780,780,5207
bc8a06e1-c968-4c28-9d36-c2f2aeb6167a,3161,2,00:31:40.525,76,40,Bad Behaviour,106,Slovenia,Regular Play,,England,Phil Foden,Left Wing,0.0,3930181,Yellow Card,944,768,4354
fbcbddb1-cae4-42da-85ad-fb5508c4d137,3111,2,00:27:44.382,72,44,Bad Behaviour,99,Italy,From Corner,True,Croatia,Luka Ivanušec,Left Center Midfield,0.0,3930178,Yellow Card,914,785,28368
7aaf74a1-fc76-47a1-af64-755f888eb300,1634,1,00:41:39.186,41,39,Bad Behaviour,69,Turkey,Regular Play,,Turkey,Mehmet Zeki Çelik,Right Back,0.0,3930174,Yellow Card,909,909,10349
cbd460e7-41e9-4eb7-8d06-908460ceeece,3316,2,00:41:13.958,86,13,Bad Behaviour,135,Serbia,Regular Play,,Slovenia,Erik Janža,Left Back,0.0,3930170,Yellow Card,786,944,28211
a3ea63b9-0d35-41e5-a58c-74058c747eaf,3464,2,00:46:11.064,91,11,Bad Behaviour,141,Serbia,From Throw In,,Serbia,Luka Jović,Right Center Forward,0.0,3930170,Yellow Card,786,786,6319
64c80c7e-1a64-47d1-b5be-f2eed869c869,1782,2,00:05:16.887,50,16,Bad Behaviour,100,Scotland,From Throw In,,Scotland,Scott McTominay,Center Attacking Midfield,0.0,3930169,Yellow Card,942,942,3620
dd47dc9d-4f4b-4171-acd5-4c4838185dbd,3541,2,00:47:13.678,92,13,Bad Behaviour,150,Portugal,From Goal Kick,,Portugal,Francisco Fernandes Conceição,Center Attacking Midfield,0.0,3930166,Yellow Card,780,780,39624
