id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,dribble_outcome,possession_team_id,team_id,player_id,dribble_nutmeg,dribble_overrun,out,dribble_no_touch
4d7d9165-92d5-4058-b9e8-951ea93ce90c,2818,2,00:32:41.094,77,41,Dribble,123,France,Regular Play,France,Bradley Barcola,Left Wing,"[57.9, 2.2]",0.0,True,"['3780d847-0034-4a4a-9f31-183384e5fa4e', 'e017b6f1-4e40-46e2-a932-162506d766a9']",3942752,Complete,771,771,39420,True,,,
98effeb9-b430-4606-94e6-08b4e3cee48c,2843,2,00:33:43.597,78,43,Dribble,125,Spain,From Throw In,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[28.2, 73.0]",0.0,True,['2325d6bb-7c6d-4bdf-86d9-b981158275ec'],3942752,Incomplete,772,772,6765,,,,
9d8b483f-9333-4c79-b534-68a3629a4183,2983,2,00:40:17.776,85,17,Dribble,134,France,From Goal Kick,France,Bradley Barcola,Left Midfield,"[55.6, 6.7]",0.0,True,"['a1dc8218-f4ed-40a2-93d1-0b444d420fc6', 'd7325e80-8737-40c5-a615-e632d7e01f01']",3942752,Complete,771,771,39420,,,,
e5cf6bc0-2011-4b75-a3fe-36d2cef009d7,3005,2,00:41:23.886,86,23,Dribble,136,France,From Throw In,France,Jules Koundé,Right Back,"[50.0, 73.6]",0.0,True,"['25b1e377-cc70-4ae7-aa72-0f8604963687', 'c94b6415-2a6f-4446-b8d3-13eaa68fab4e']",3942752,Complete,771,771,4445,,,,
0eb201d3-684d-4ef2-80dc-3e4aaf6ad2c7,3207,2,00:47:28.394,92,28,Dribble,148,Spain,From Counter,Spain,Lamine Yamal Nasraoui Ebana,Right Wing,"[62.7, 77.9]",0.0,True,['4752b4c8-db3e-4661-bd15-9e43c3abfd5d'],3942752,Incomplete,772,772,316046,True,,,
3368994c-9cb3-4744-a91f-efbe1be3947d,64,1,00:00:59.494,0,59,Dribble,3,Netherlands,From Throw In,Netherlands,Memphis Depay,Center Forward,"[104.8, 32.8]",0.0,True,['de59261a-73bd-45e8-8ade-ca39ed642964'],3942382,Complete,941,941,2988,,,,
a0ff1f15-683e-4daf-8b9b-ca82a3de1faf,201,1,00:03:40.637,3,40,Dribble,8,Netherlands,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[96.3, 59.7]",0.0,True,['9c3f10e1-1248-4591-961c-d2877d3bf248'],3942382,Complete,941,941,21582,,,,
2972fa3b-ffd7-439d-b9b8-555c29fe7eb9,203,1,00:03:41.952,3,41,Dribble,8,Netherlands,Regular Play,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[106.2, 57.8]",0.0,True,['dc0da505-a114-46be-8b6f-004a6f869aa3'],3942382,Incomplete,941,941,21582,,,,
02da8947-987e-4c02-9b62-09198e312169,219,1,00:03:48.729,3,48,Dribble,9,Turkey,Regular Play,Turkey,Kenan Yildiz,Left Wing,"[50.9, 30.2]",0.0,True,"['3f91feaf-9978-459a-a358-dfdb520428ec', 'd515a81a-1cf4-45a4-9e1a-0c9ae5365ce0']",3942382,Complete,909,909,151813,,,,
3d71bbc9-1265-4ec5-a789-6679bc0b0514,834,1,00:18:46.248,18,46,Dribble,24,Netherlands,From Throw In,Netherlands,Denzel Dumfries,Right Back,"[102.1, 66.7]",0.0,True,['ac427493-dac7-46fb-bca3-d3bdd9be3a8c'],3942382,Incomplete,941,941,8125,True,,,
eca550eb-cda2-4cd9-9ff1-5a8d1debb0ed,917,1,00:20:22.133,20,22,Dribble,26,Turkey,From Throw In,Turkey,Arda Güler,Right Wing,"[113.0, 58.3]",0.0,True,['e50fb744-4651-4e41-9705-512114d80ff4'],3942382,Incomplete,909,909,116587,True,,,
b6f9600d-6310-4324-9dd2-bc0e53252529,1067,1,00:23:53.224,23,53,Dribble,31,Netherlands,Regular Play,Netherlands,Steven Bergwijn,Right Wing,"[111.5, 73.0]",0.0,True,['206f96a3-5ae7-4436-8a46-32dfa6d98223'],3942382,Incomplete,941,941,8259,,,,
0987fc42-2b54-4e82-96cb-46db9bb88046,1107,1,00:24:49.508,24,49,Dribble,32,Turkey,From Goal Kick,Turkey,Barış Alper Yılmaz,Center Forward,"[114.7, 55.2]",0.0,True,['ba611242-a7b0-4a25-b407-5e8b3301367b'],3942382,Incomplete,909,909,134209,,,,
1986ac47-be62-4428-a337-570b9a087a43,1228,1,00:29:04.296,29,4,Dribble,37,Netherlands,From Goal Kick,Netherlands,Tijjani Reijnders,Left Defensive Midfield,"[78.4, 16.8]",0.0,True,"['564be466-f1af-46b9-99f3-d6dd9a857db8', 'dc27da1e-28f6-43ec-9ddb-0956b485d99d']",3942382,Incomplete,941,941,21582,,,,
e77e247d-d8e1-41ca-b815-8794ecce3206,1250,1,00:29:24.011,29,24,Dribble,37,Netherlands,From Goal Kick,Netherlands,Xavi Simons,Center Attacking Midfield,"[32.0, 14.9]",0.0,True,['3af43497-f357-445a-bfdc-ca430ef3f276'],3942382,Incomplete,941,941,39167,,,,
3b2b6945-2ba4-4bac-b25c-4c78231e1f07,1570,1,00:40:21.012,40,21,Dribble,51,Turkey,From Free Kick,Turkey,Arda Güler,Right Wing,"[84.8, 4.5]",0.0,True,"['2865ed3a-b33c-4903-bdfe-17e994f004d8', '6363f29e-af0d-4d41-9402-8d570e84ef3a']",3942382,Complete,909,909,116587,,,,
180ece66-de84-4f39-87d6-abefce081b50,1654,1,00:41:38.904,41,38,Dribble,54,Netherlands,Regular Play,Netherlands,Steven Bergwijn,Right Wing,"[88.7, 51.8]",0.0,True,"['4aa362e1-f602-491b-bdf9-11f25da98927', 'b89677de-7180-4602-87cf-2de01e13cd83']",3942382,Complete,941,941,8259,,,,
ff372fd1-ac4f-4c89-80ca-9320eab2f62b,1757,1,00:44:07.207,44,7,Dribble,56,Netherlands,Regular Play,Netherlands,Denzel Dumfries,Right Back,"[70.2, 76.8]",0.0,True,['bedca06b-486b-4071-885c-ecb5f87a89ef'],3942382,Incomplete,941,941,8125,,,,
