id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,50_50,match_id,possession_team_id,team_id,player_id,counterpress,out
f636c6a8-47e0-4a71-a610-9414309cf3ad,800,1,00:25:05.276,25,5,50/50,31,Netherlands,Regular Play,England,Phil Foden,Right Attacking Midfield,"[91.0, 23.3]",0.0,True,['ee268886-ad31-4618-a20a-58af57bf2503'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942819,941,768,4354,,
ee268886-ad31-4618-a20a-58af57bf2503,801,1,00:25:05.276,25,5,50/50,31,Netherlands,Regular Play,Netherlands,Stefan de Vrij,Right Center Back,"[29.1, 56.8]",0.0,True,['f636c6a8-47e0-4a71-a610-9414309cf3ad'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3942819,941,941,7787,,
ac9108a6-66ac-4b73-b6f1-63f75dce81ad,1378,1,00:37:24.345,37,24,50/50,60,Spain,Regular Play,England,Jude Bellingham,Left Wing,"[36.8, 11.8]",0.0,True,['0f4ebf85-63f0-4271-b243-5f6dc9a1026c'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3943043,772,768,30714,,
0f4ebf85-63f0-4271-b243-5f6dc9a1026c,1379,1,00:37:24.345,37,24,50/50,60,Spain,Regular Play,Spain,Robin Aime Robert Le Normand,Right Center Back,"[83.3, 68.3]",1.371682,True,['ac9108a6-66ac-4b73-b6f1-63f75dce81ad'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3943043,772,772,22128,,
c4485707-6ff2-41ee-a3f9-542717bd56b4,2982,2,00:35:55.487,80,55,50/50,127,Spain,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,"[76.4, 61.3]",0.0,True,['41a148cd-bb9e-4413-a302-e914089c7fdd'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3943043,772,772,6655,,
41a148cd-bb9e-4413-a302-e914089c7fdd,2983,2,00:35:55.487,80,55,50/50,127,Spain,Regular Play,England,Phil Foden,Left Wing,"[43.7, 18.8]",0.0,True,['c4485707-6ff2-41ee-a3f9-542717bd56b4'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3943043,772,768,4354,,
56c49847-36bf-45fe-a415-5bcccf8075f7,1197,1,00:34:20.718,34,20,50/50,51,Spain,From Throw In,France,N'Golo Kanté,Right Center Midfield,"[95.9, 19.1]",0.0,True,"['4101fa8f-620d-48e8-adf8-f2cb6a651e6e', '7b77ab93-e536-454d-8d3d-30739665f08d']","{'outcome': {'id': 1, 'name': 'Lost'}}",3942752,772,771,3961,,
7b77ab93-e536-454d-8d3d-30739665f08d,1198,1,00:34:20.718,34,20,50/50,51,Spain,From Throw In,Spain,Rodrigo Hernández Cascante,Right Defensive Midfield,"[24.2, 61.0]",0.0,True,['56c49847-36bf-45fe-a415-5bcccf8075f7'],"{'outcome': {'id': 4, 'name': 'Won'}}",3942752,772,772,6765,True,
97dead79-700c-4e38-8f72-8edb1ef68975,1990,2,00:10:31.555,55,31,50/50,91,France,Regular Play,France,Randal Kolo Muani,Center Forward,"[90.8, 27.7]",0.0,True,['3d5282a0-476a-4203-9bf3-a221623379bd'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942752,771,771,22097,,
3d5282a0-476a-4203-9bf3-a221623379bd,1991,2,00:10:31.555,55,31,50/50,91,France,Regular Play,Spain,Fabián Ruiz Peña,Left Defensive Midfield,"[29.3, 52.4]",0.0,True,['97dead79-700c-4e38-8f72-8edb1ef68975'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3942752,771,772,6655,,
244ce576-81bb-4afa-ac3b-dca928385f44,443,1,00:08:59.427,8,59,50/50,15,Turkey,From Throw In,Turkey,Kenan Yildiz,Left Wing,"[49.2, 36.7]",0.0,True,['ca9cfc19-55d1-4a54-b0a1-8a3effd41fa9'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3942382,909,909,151813,,
ca9cfc19-55d1-4a54-b0a1-8a3effd41fa9,444,1,00:08:59.427,8,59,50/50,15,Turkey,From Throw In,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[70.9, 43.4]",0.0,True,['244ce576-81bb-4afa-ac3b-dca928385f44'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,909,941,15503,,
6cf72a8b-dcdc-4e04-9937-1170199fdd85,475,1,00:09:29.189,9,29,50/50,16,Netherlands,Regular Play,Turkey,Mert Müldür,Right Wing Back,"[17.7, 51.6]",0.0,True,['efffa718-0d90-4783-8fd2-bc9cd8366e09'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,941,909,10826,,
efffa718-0d90-4783-8fd2-bc9cd8366e09,476,1,00:09:29.189,9,29,50/50,16,Netherlands,Regular Play,Netherlands,Cody Mathès Gakpo,Left Wing,"[102.4, 28.5]",0.0,True,['6cf72a8b-dcdc-4e04-9937-1170199fdd85'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3942382,941,941,20750,,
92621aa0-7b78-4af4-8f0b-f2c02f4634c2,1276,1,00:31:45.704,31,45,50/50,40,Netherlands,From Throw In,Turkey,Barış Alper Yılmaz,Center Forward,"[104.9, 67.9]",0.0,True,['8f45314c-d1c6-4838-a4bb-cc2b79942185'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3942382,941,909,134209,,
8f45314c-d1c6-4838-a4bb-cc2b79942185,1277,1,00:31:45.704,31,45,50/50,40,Netherlands,From Throw In,Netherlands,Cody Mathès Gakpo,Left Wing,"[15.2, 12.2]",0.0,True,['92621aa0-7b78-4af4-8f0b-f2c02f4634c2'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,941,941,20750,True,
f4cad415-fa64-4971-ad18-278c31fcd7b2,2230,2,00:11:34.755,56,34,50/50,82,Turkey,From Goal Kick,Turkey,Salih Özcan,Right Defensive Midfield,"[47.5, 60.5]",0.0,True,['3ef888ae-e6ec-463b-9343-a0f94e133120'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3942382,909,909,9085,,
3ef888ae-e6ec-463b-9343-a0f94e133120,2231,2,00:11:34.755,56,34,50/50,82,Turkey,From Goal Kick,Netherlands,Jerdy Schouten,Right Defensive Midfield,"[72.6, 19.6]",0.0,True,['f4cad415-fa64-4971-ad18-278c31fcd7b2'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,909,941,15503,,
3d762f46-da9a-43d2-b509-5d3d7938dd78,2967,2,00:33:15.583,78,15,50/50,105,Netherlands,Regular Play,Netherlands,Micky van de Ven,Left Back,"[84.8, 9.5]",0.0,True,['be038c13-c188-41bd-8380-3bdf9e7bc1b5'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3942382,941,941,32547,,
be038c13-c188-41bd-8380-3bdf9e7bc1b5,2968,2,00:33:15.583,78,15,50/50,105,Netherlands,Regular Play,Turkey,Mert Müldür,Right Wing Back,"[35.3, 70.6]",0.0,True,"['3d762f46-da9a-43d2-b509-5d3d7938dd78', '587a588a-b329-4965-bc4b-3cb4de1023b9']","{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,941,909,10826,,
09c8d3a1-4e02-4cd4-80ff-ed68fb338cfb,3325,2,00:46:28.861,91,28,50/50,121,Turkey,From Corner,Turkey,Ferdi Erenay Kadıoğlu,Left Back,"[68.1, 49.8]",0.030432,True,['24a3a6da-2ffe-4f13-91f1-ad4e2a5d4e27'],"{'outcome': {'id': 2, 'name': 'Success To Opposition'}}",3942382,909,909,30438,True,
24a3a6da-2ffe-4f13-91f1-ad4e2a5d4e27,3326,2,00:46:28.861,91,28,50/50,121,Turkey,From Corner,Netherlands,Micky van de Ven,Left Back,"[53.3, 31.1]",0.0,True,['09c8d3a1-4e02-4cd4-80ff-ed68fb338cfb'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942382,909,941,32547,,
3f933a58-e91f-4edb-bbc6-03471e43d58c,101,1,00:01:29.558,1,29,50/50,2,France,From Kick Off,Portugal,Nuno Mendes,Left Back,"[5.8, 4.8]",0.0,True,['e44c4b0a-3ff3-4012-809e-a2f0bc2afad4'],"{'outcome': {'id': 1, 'name': 'Lost'}}",3942349,771,780,41092,,
e44c4b0a-3ff3-4012-809e-a2f0bc2afad4,102,1,00:01:29.558,1,29,50/50,2,France,From Kick Off,France,Jules Koundé,Right Back,"[114.3, 75.3]",0.0,True,['3f933a58-e91f-4edb-bbc6-03471e43d58c'],"{'outcome': {'id': 3, 'name': 'Success To Team'}}",3942349,771,771,4445,True,
