player_id,player_name,player_nickname,jersey_number,country,cards,positions,match_id,team_name
2988,Memphis Depay,,10,Netherlands,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '34:24', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Injury)'}]",3942819,Netherlands
3306,Nathan Aké,,5,Netherlands,[],"[{'position_id': 6, 'position': 'Left Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
3311,Daley Blind,,17,Netherlands,[],[],3942819,Netherlands
3567,Georginio Wijnaldum,,8,Netherlands,[],[],3942819,Netherlands
3669,Virgil van Dijk,,4,Netherlands,"[{'time': '86:26', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
7787,Stefan de Vrij,,6,Netherlands,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
7829,Wout Weghorst,,9,Netherlands,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
8069,Matthijs de Ligt,,3,Netherlands,[],[],3942819,Netherlands
8125,Denzel Dumfries,,22,Netherlands,"[{'time': '13:43', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 1}]","[{'position_id': 2, 'position': 'Right Back', 'from': '00:00', 'to': '92:42', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,Netherlands
8259,Steven Bergwijn,,25,Netherlands,[],[],3942819,Netherlands
15503,Jerdy Schouten,,24,Netherlands,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
15582,Donyell Malen,,18,Netherlands,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '00:00', 'to': '34:33', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 23, 'position': 'Center Forward', 'from': '34:33', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,Netherlands
16185,Justin Bijlow,,13,Netherlands,[],[],3942819,Netherlands
20750,Cody Mathès Gakpo,Cody Gakpo,11,Netherlands,[],"[{'position_id': 21, 'position': 'Left Wing', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
21582,Tijjani Reijnders,,14,Netherlands,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
21633,Joey Veerman,,16,Netherlands,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '34:24', 'to': '34:33', 'from_period': 1, 'to_period': 1, 'start_reason': 'Substitution - On (Injury)', 'end_reason': 'Tactical Shift'}, {'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '34:33', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
21880,Brian Brobbey,,19,Netherlands,[],"[{'position_id': 17, 'position': 'Right Wing', 'from': '92:40', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
22352,Lutsharel Geertruida,,2,Netherlands,[],[],3942819,Netherlands
23230,Ryan Gravenberch,,26,Netherlands,[],[],3942819,Netherlands
25000,Mark Flekken,,23,Netherlands,[],[],3942819,Netherlands
32547,Micky van de Ven,Micky van de Ven,15,Netherlands,[],[],3942819,Netherlands
32712,Jeremie Frimpong,,12,Netherlands,[],[],3942819,Netherlands
33281,Joshua Zirkzee,,21,Netherlands,[],"[{'position_id': 2, 'position': 'Right Back', 'from': '92:42', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
37274,Bart Verbruggen,,1,Netherlands,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,Netherlands
39092,Ian Maatsen,,20,Netherlands,[],[],3942819,Netherlands
39167,Xavi Simons,,7,Netherlands,"[{'time': '90:18', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 19, 'position': 'Center Attacking Midfield', 'from': '00:00', 'to': '34:33', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 17, 'position': 'Right Wing', 'from': '34:33', 'to': '92:40', 'from_period': 1, 'to_period': 2, 'start_reason': 'Tactical Shift', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,Netherlands
3088,Lewis Dunk,,15,England,[],[],3942819,England
3205,Kyle Walker,,2,England,[],"[{'position_id': 3, 'position': 'Right Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,England
3244,John Stones,,5,England,[],"[{'position_id': 4, 'position': 'Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,England
3308,Kieran Trippier,,12,England,"[{'time': '93:41', 'card_type': 'Yellow Card', 'reason': 'Bad Behaviour', 'period': 2}]","[{'position_id': 8, 'position': 'Left Wing Back', 'from': '00:00', 'to': '45:00', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,England
3382,Luke Shaw,,3,England,[],"[{'position_id': 8, 'position': 'Left Wing Back', 'from': '45:00', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,England
3468,Jordan Pickford,,1,England,[],"[{'position_id': 1, 'position': 'Goalkeeper', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,England
3495,Joe Gomez,,22,England,[],[],3942819,England
3664,Trent Alexander-Arnold,,8,England,[],[],3942819,England
3822,Ezri Konsa Ngoyo,Ezri Konsa,14,England,[],"[{'position_id': 7, 'position': 'Right Wing Back', 'from': '92:17', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,England
3834,Ivan Toney,,17,England,[],[],3942819,England
3943,Declan Rice,,4,England,[],"[{'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '00:00', 'to': '93:02', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Tactical Shift'}, {'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '93:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3942819,England
4073,Dean Henderson,,23,England,[],[],3942819,England
4354,Phil Foden,,11,England,[],"[{'position_id': 18, 'position': 'Right Attacking Midfield', 'from': '00:00', 'to': '79:28', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,England
4760,Ollie Watkins,,19,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '79:41', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Final Whistle'}]",3942819,England
9000,Eberechi Eze,,21,England,[],[],3942819,England
9640,Jarrod Bowen,,20,England,[],[],3942819,England
10955,Harry Kane,,9,England,[],"[{'position_id': 23, 'position': 'Center Forward', 'from': '00:00', 'to': '79:41', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,England
22084,Bukayo Saka,,7,England,"[{'time': '85:00', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 7, 'position': 'Right Wing Back', 'from': '00:00', 'to': '92:17', 'from_period': 1, 'to_period': 2, 'start_reason': 'Starting XI', 'end_reason': 'Substitution - Off (Tactical)'}]",3942819,England
22783,Aaron Ramsdale,,13,England,[],[],3942819,England
28104,Anthony Gordon,,18,England,[],[],3942819,England
29399,Conor Gallagher,,16,England,[],"[{'position_id': 9, 'position': 'Right Defensive Midfield', 'from': '92:13', 'to': '93:02', 'from_period': 2, 'to_period': 2, 'start_reason': 'Substitution - On (Tactical)', 'end_reason': 'Tactical Shift'}, {'position_id': 11, 'position': 'Left Defensive Midfield', 'from': '93:02', 'to': None, 'from_period': 2, 'to_period': None, 'start_reason': 'Tactical Shift', 'end_reason': 'Final Whistle'}]",3942819,England
30714,Jude Bellingham,,10,England,"[{'time': '71:05', 'card_type': 'Yellow Card', 'reason': 'Foul Committed', 'period': 2}]","[{'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '00:00', 'to': '09:29', 'from_period': 1, 'to_period': 1, 'start_reason': 'Starting XI', 'end_reason': 'Player Off'}, {'position_id': 20, 'position': 'Left Attacking Midfield', 'from': '10:36', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Player On', 'end_reason': 'Final Whistle'}]",3942819,England
34526,Marc Guehi,,6,England,[],"[{'position_id': 5, 'position': 'Left Center Back', 'from': '00:00', 'to': None, 'from_period': 1, 'to_period': None, 'start_reason': 'Starting XI', 'end_reason': 'Final Whistle'}]",3942819,England
