id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,match_id,possession_team_id,team_id,off_camera
795b7e78-9658-4100-b71d-f0efed1c7d0c,3667,2,00:47:14.893,92,14,Referee Ball-Drop,155,Portugal,Other,Portugal,"[94.3, 64.3]",0.0,3930174,780,780,True
7f0783ba-d05a-43fb-8f2c-707a0a794b3b,3210,2,00:36:19.688,81,19,Referee Ball-Drop,125,Slovenia,Other,Slovenia,"[10.3, 32.8]",0.0,3930170,944,944,True
e45f9ef5-c848-4d94-b191-91afcc4322b4,3211,2,00:36:20.612,81,20,Referee Ball-Drop,126,Serbia,Other,Serbia,"[109.8, 47.3]",0.0,3930170,786,786,True
8d79beb5-7461-437a-9fae-c8fb42d1284c,547,1,00:17:05.729,17,5,Referee Ball-Drop,39,Switzerland,Other,Switzerland,"[77.5, 20.3]",0.0,3930169,773,773,
5b2658ad-1169-4203-ba95-5b5b585279c9,548,1,00:17:05.932,17,5,Referee Ball-Drop,40,Scotland,Other,Scotland,"[42.6, 59.8]",0.0,3930169,942,942,
65d72d76-7073-44c9-80b8-eaded4faa38a,564,1,00:20:03.882,20,3,Referee Ball-Drop,43,Switzerland,Other,Switzerland,"[81.1, 18.6]",0.0,3930169,773,773,
52c34cb6-f55f-4804-bf4a-dd11e19a76fd,565,1,00:20:04.366,20,4,Referee Ball-Drop,44,Scotland,Other,Scotland,"[39.0, 61.5]",0.0,3930169,942,942,
7a1e55b3-aa9f-471b-bd18-6f6d9076c448,763,1,00:24:46.774,24,46,Referee Ball-Drop,51,Switzerland,Other,Switzerland,"[37.2, 77.3]",0.0,3930169,773,773,
909a69ce-2025-44de-81af-98f6dae44c2c,764,1,00:24:47.026,24,47,Referee Ball-Drop,52,Scotland,Other,Scotland,"[82.5, 2.8]",0.0,3930169,942,942,
7ace2c83-6c3b-4e9e-8ce4-55d41bcb6f8a,1783,2,00:05:40.652,50,40,Referee Ball-Drop,101,Switzerland,Other,Switzerland,"[21.1, 74.9]",0.0,3930169,773,773,
fdd3bab3-eb2c-40e5-a3a9-ec528268a5c4,1784,2,00:05:40.754,50,40,Referee Ball-Drop,102,Scotland,Other,Scotland,"[98.8, 5.8]",0.0,3930169,942,942,
352623b4-13db-4907-8492-5bf605bc8560,626,1,00:14:11.027,14,11,Referee Ball-Drop,26,Portugal,Other,Portugal,"[77.0, 35.2]",0.0,3930166,780,780,
42d1481f-4255-4345-945d-88bdcfed3ee6,627,1,00:14:11.048,14,11,Referee Ball-Drop,27,Czech Republic,Other,Czech Republic,"[43.1, 44.9]",0.0,3930166,912,912,
10bc8b18-b242-4d5a-a6ed-4aaf1f514867,2057,2,00:01:51.900,46,51,Referee Ball-Drop,78,Portugal,Other,Portugal,"[35.4, 22.4]",0.0,3930166,780,780,True
