id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,related_events,match_id,possession_team_id,team_id,player_id,player_off_permanent,off_camera
5987d875-3bae-4c36-8c65-ac6bd50bfc52,2165,2,00:12:28.641,57,28,Player Off,95,Denmark,From Throw In,Germany,Robert Andrich,Right Defensive Midfield,0.0,['8a2b180e-0741-415a-a2a8-bbb60ce3a8ab'],3940983,776,770,9195,,
b8d876b5-881a-41cc-ae85-faa6fe4251ff,406,1,00:09:47.517,9,47,Player Off,18,Switzerland,Regular Play,Italy,Nicolò Barella,Left Center Midfield,0.0,['ad0740f4-7783-4f46-af24-c0bd220be6f1'],3940878,773,914,8181,,
91390d11-baf3-4c33-9ab6-1c8c5d45468c,1717,1,00:42:39.068,42,39,Player Off,63,Italy,From Throw In,Italy,Giovanni Di Lorenzo,Right Back,0.0,['663d9e34-e4ae-4b7f-bb35-5bd119a721ae'],3940878,914,914,11514,,
5b9216e3-3ec9-4025-862c-326c6e41fdf2,508,1,00:10:43.920,10,43,Player Off,15,Hungary,Regular Play,Scotland,Callum McGregor,Left Defensive Midfield,0.0,['0b5425f7-d5b9-4e1b-a329-d8b2b7131439'],3930177,916,942,10534,,
feffdf16-6ea8-4d07-9b1e-1b8dab51b09d,2956,2,00:41:52.357,86,52,Player Off,130,Hungary,Regular Play,Scotland,Grant Campbell Hanley,Center Back,0.0,['e875fcee-142c-445b-a4c2-4dd7bc1cbfe0'],3930177,916,942,9481,,
a5ab614a-19a6-4b34-b855-e47cc5b6f9d6,3389,2,00:42:45.839,87,45,Player Off,110,France,From Throw In,France,Adrien Rabiot,Left Midfield,0.0,['05cb92be-571b-409f-8810-c4d8295a0c1c'],3930173,771,771,3026,,
87e5f070-833b-4e91-bdb8-b22f5e67caa8,312,1,00:07:36.370,7,36,Player Off,13,Spain,Regular Play,Italy,Lorenzo Pellegrini,Left Wing,0.0,['ecb23673-4a44-4480-9c50-62d7b3a96f10'],3930172,772,914,6963,,
be31e3ff-8ccc-40c7-84d6-ebe957a6f278,2584,2,00:20:01.349,65,1,Player Off,110,Albania,Regular Play,Croatia,Josip Šutalo,Right Center Back,0.0,['e30fda4e-81c3-4bb6-9ca1-cff4e94d74bc'],3930167,906,785,37148,,
5753dcf7-160d-4634-a2a8-40e092e29e28,994,1,00:24:52.722,24,52,Player Off,39,Hungary,From Kick Off,Germany,Antonio Rüdiger,Right Center Back,0.0,['d2bd7e34-6f0b-4acb-82aa-a10573c688ec'],3930168,916,770,3167,,
80847e07-94a7-4dc1-980e-e2d2978dcb2c,995,1,00:24:54.999,24,54,Player Off,39,Hungary,From Kick Off,Hungary,Milos Kerkez,Left Wing Back,0.0,['6f373424-4104-420f-8935-8a0a4ecb02df'],3930168,916,916,89635,,
