id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,possession_team_id,team_id,player_id
4fe4a2f6-4ef6-44a4-b06d-45cc19f1a3aa,591,1,00:15:24.430,15,24,Shield,33,Romania,From Free Kick,Belgium,Wout Faes,Right Center Back,"[3.0, 57.5]",0.0,True,['9c36c6eb-ee10-4caa-aa2a-0d0b822836b1'],3930175,905,782,8854
4cbcb114-6e01-4860-b82f-ba3c4ee0bad5,1880,2,00:04:20.734,49,20,Shield,94,Belgium,Regular Play,Romania,Andrei Florin Ratiu,Right Back,"[2.6, 75.7]",0.0,True,['8e7c60f9-f172-4451-8356-0bd64dc17b8e'],3930175,782,905,24861
ea888d03-f0ad-407e-9c30-9f31744de60d,2193,2,00:15:46.439,60,46,Shield,115,Belgium,From Throw In,Belgium,Kevin De Bruyne,Center Attacking Midfield,"[110.6, 3.8]",0.0,True,['6299252f-5107-41ac-9df5-b82f1f3a1a30'],3930175,782,782,3089
ad2833c2-a204-4555-b3ee-852bbd41673c,3313,2,00:38:38.138,83,38,Shield,139,Turkey,From Keeper,Portugal,Nélson Cabral Semedo,Right Back,"[1.5, 54.0]",0.0,True,['f29a39bd-2e80-4f3a-80bd-27e133c6f807'],3930174,909,780,6374
0d10c919-a34f-4cd9-bd62-f6c4a83af82f,93,1,00:01:28.946,1,28,Shield,4,Slovenia,From Throw In,Slovenia,Jan Oblak,Goalkeeper,"[2.6, 58.3]",0.0,,,3930170,944,944,6378
b89c1e78-d4c7-4b5a-a7da-d142e128749c,381,1,00:07:08.282,7,8,Shield,14,Slovenia,Regular Play,Slovenia,Jan Mlakar,Left Midfield,"[118.6, 75.4]",0.0,,,3930170,944,944,31089
6988a47a-3737-4f6c-a7df-0fc42aae14e7,323,1,00:08:40.588,8,40,Shield,22,Switzerland,Regular Play,Scotland,Grant Campbell Hanley,Center Back,"[3.3, 23.8]",0.0,True,['9c4fcef1-87a3-45ca-9726-9edff5b59405'],3930169,773,942,9481
15b80a84-aced-4c79-b86f-1e9f7e9c2a29,152,1,00:03:11.511,3,11,Shield,6,Portugal,Regular Play,Czech Republic,David Doudera,Left Wing Back,"[1.4, 13.3]",0.0,True,['bad59c10-9d7c-4a5a-8044-92bb0b7d527c'],3930166,780,912,35441
d6048137-cb3c-4a3b-a497-567206c9c0c3,1246,1,00:29:10.594,29,10,Shield,49,Portugal,From Throw In,Czech Republic,David Doudera,Left Wing Back,"[0.7, 1.1]",0.0,True,['3f13eee6-cc98-4705-8d13-f9339f8f622a'],3930166,780,912,35441
162f02d4-4deb-4d81-8422-c3e2f7183705,1584,1,00:35:17.670,35,17,Shield,48,England,Regular Play,Serbia,Andrija Živković,Right Wing Back,"[69.5, 75.2]",0.0,True,['f143ad6d-4c3b-4b49-8f34-11b7cfb2c807'],3930163,768,786,6318
593f0c42-58fd-4b28-a928-27a3aeb897a6,2028,1,00:46:38.726,46,38,Shield,61,Serbia,From Free Kick,England,Jordan Pickford,Goalkeeper,"[1.9, 48.6]",0.0,,,3930163,786,768,3468
26642ab9-0f65-4f29-a2cd-0cecdc3c3ff9,1159,1,00:28:56.265,28,56,Shield,45,Slovenia,From Goal Kick,Slovenia,Petar Stojanović,Right Midfield,"[34.1, 75.7]",0.0,,,3930162,944,944,16528
7df233ee-41fc-4ee6-a401-40223c29dad8,1966,2,00:00:30.901,45,30,Shield,64,Denmark,From Kick Off,Slovenia,Petar Stojanović,Right Midfield,"[45.6, 79.0]",0.0,True,['abad6d88-0edf-4e3a-b348-a21d9bbe8ac3'],3930162,776,944,16528
da0baecf-a5c1-47eb-8577-8af76b2c0356,2498,2,00:16:44.511,61,44,Shield,114,Spain,Regular Play,Croatia,Lovro Majer,Right Wing,"[61.1, 78.1]",0.0,True,['df49336a-6ac0-48d5-96e7-aeba60ae6472'],3930160,772,785,28914
