id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,duration,related_events,match_id,possession_team_id,team_id
fb2e0f15-aa3c-4a06-a11b-f16ae5804342,3,1,00:00:00.000,0,0,Half Start,1,Netherlands,Regular Play,Netherlands,0.0,['75fd7777-ef15-4fdc-abb1-1349fef334c1'],3942819,941,941
75fd7777-ef15-4fdc-abb1-1349fef334c1,4,1,00:00:00.000,0,0,Half Start,1,Netherlands,Regular Play,England,0.0,['fb2e0f15-aa3c-4a06-a11b-f16ae5804342'],3942819,941,768
c3297388-2725-4802-94e4-fa6e17c06ae2,1698,2,00:00:00.000,45,0,Half Start,50,England,From Goal Kick,Netherlands,0.0,['3e3599d1-e3fc-41df-a377-c1a833c6e3ec'],3942819,768,941
3e3599d1-e3fc-41df-a377-c1a833c6e3ec,1699,2,00:00:00.000,45,0,Half Start,50,England,From Goal Kick,England,0.0,['c3297388-2725-4802-94e4-fa6e17c06ae2'],3942819,768,768
d2126e70-9f04-4bb7-ba2b-9377836d1757,3,1,00:00:00.000,0,0,Half Start,1,Spain,Regular Play,England,0.0,['54d78bfa-4146-42bd-acdc-97bcd393dd81'],3943043,772,768
54d78bfa-4146-42bd-acdc-97bcd393dd81,4,1,00:00:00.000,0,0,Half Start,1,Spain,Regular Play,Spain,0.0,['d2126e70-9f04-4bb7-ba2b-9377836d1757'],3943043,772,772
7230470a-8ceb-4eb8-a66f-d72a2afb12d6,1706,2,00:00:00.000,45,0,Half Start,79,Spain,Regular Play,England,0.0,['cb9ba06c-a673-448d-ab21-755d330fcadc'],3943043,772,768
cb9ba06c-a673-448d-ab21-755d330fcadc,1707,2,00:00:00.000,45,0,Half Start,79,Spain,Regular Play,Spain,0.0,['7230470a-8ceb-4eb8-a66f-d72a2afb12d6'],3943043,772,772
bba4f077-46e4-48d8-ad17-ecc3c0a299f4,3,1,00:00:00.000,0,0,Half Start,1,Spain,Regular Play,Spain,0.0,['8fcd40dd-0c42-4964-b578-4d6f07953bce'],3942752,772,772
8fcd40dd-0c42-4964-b578-4d6f07953bce,4,1,00:00:00.000,0,0,Half Start,1,Spain,Regular Play,France,0.0,['bba4f077-46e4-48d8-ad17-ecc3c0a299f4'],3942752,772,771
22758d21-9898-4959-ba6d-ebd71d79e0fb,1558,2,00:00:00.000,45,0,Half Start,68,Spain,From Free Kick,France,0.0,['7b9d4ac8-dc12-4e47-a3fe-a2ccba4bb519'],3942752,772,771
7b9d4ac8-dc12-4e47-a3fe-a2ccba4bb519,1559,2,00:00:00.000,45,0,Half Start,68,Spain,From Free Kick,Spain,0.0,['22758d21-9898-4959-ba6d-ebd71d79e0fb'],3942752,772,772
f4d2f4a4-050e-4b04-a3a7-1c54284d00b7,3,1,00:00:00.000,0,0,Half Start,1,Netherlands,Regular Play,Netherlands,0.0,['8948093a-b31d-499a-825e-ca122b9b4ccc'],3942382,941,941
8948093a-b31d-499a-825e-ca122b9b4ccc,4,1,00:00:00.000,0,0,Half Start,1,Netherlands,Regular Play,Turkey,0.0,['f4d2f4a4-050e-4b04-a3a7-1c54284d00b7'],3942382,941,909
3c17995c-8b78-475c-bf88-0e1541ab6455,1870,2,00:00:00.000,45,0,Half Start,62,Turkey,Regular Play,Turkey,0.0,['fd609288-486d-4ad3-98e7-e1c5078d567c'],3942382,909,909
fd609288-486d-4ad3-98e7-e1c5078d567c,1871,2,00:00:00.000,45,0,Half Start,62,Turkey,Regular Play,Netherlands,0.0,['3c17995c-8b78-475c-bf88-0e1541ab6455'],3942382,909,941
