id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,related_events,match_id,possession_team_id,team_id,player_id,off_camera,under_pressure
315babfa-7fc9-42e7-ab06-f3edf5ae846b,393,1,00:10:36.590,10,36,Player On,13,England,From Free Kick,England,Jude Bellingham,Left Attacking Midfield,0.0,['85a24f53-0e56-455c-8bd5-b5cacd19cab7'],3942819,768,768,30714,,
3268917e-cb8c-4f2f-9510-c13b1c824769,2973,2,00:40:08.291,85,8,Player On,133,Spain,From Free Kick,Spain,Aymeric Laporte,Left Center Back,0.0,['90c02223-b40e-4ae9-85e6-8433f59e3367'],3942752,772,772,4353,,
5d269ae6-196e-4d08-9432-2bdb35afeb85,687,1,00:16:14.073,16,14,Player On,23,Turkey,From Free Kick,Turkey,Samet Akaydin,Center Back,0.0,['2b720e3a-b7b3-4554-ab84-1698334ba1b9'],3942382,909,909,133305,True,
5b686737-5a6c-44c7-8401-bb7ea80c9b63,2244,2,00:13:32.681,58,32,Player On,85,Turkey,Regular Play,Netherlands,Jerdy Schouten,Right Defensive Midfield,0.0,['3e93ea9e-1011-49d3-af1a-dd2deb44cc91'],3942382,909,941,15503,,
8abd8ff5-e50c-436e-8fee-32266cb9cd9b,2465,2,00:11:24.831,56,24,Player On,88,Portugal,Regular Play,France,Kylian Mbappé Lottin,Left Center Forward,0.0,['43a04bb8-7e2a-4801-bdc7-1be7207e69ce'],3942349,780,771,3009,,
5be541d1-eaf7-41e1-aa7c-5cabd0771fda,2407,2,00:25:37.459,70,37,Player On,122,Netherlands,Regular Play,Netherlands,Donyell Malen,Right Wing,0.0,['5343af87-e553-4b04-82d1-6d3c6db67ee5'],3930180,941,941,15582,,
f43f8c0a-ff50-4fd6-8cff-c9932946a2e9,3108,2,00:49:21.316,94,21,Player On,157,Netherlands,From Corner,Austria,Leopold Querfeld,Right Center Back,0.0,['e2e6f188-536d-4b30-b4a1-59928b8e2b4e'],3930180,941,915,152512,,
e1335d77-89bd-4e69-a971-7140319e997e,468,1,00:09:40.794,9,40,Player On,13,Denmark,Regular Play,England,Kyle Walker,Right Back,0.0,['e016f1b8-f000-4001-bb3b-5d546bbc6916'],3930171,776,768,3205,,
086fd373-02a9-4aa7-8d00-73333e828865,140,1,00:04:56.599,4,56,Player On,11,Spain,From Free Kick,Spain,Pedro González López,Right Center Midfield,0.0,['fc47379f-350e-4ed5-a0ae-7ad078fb225a'],3942226,772,772,30486,,
1753a3bf-bc2d-4102-81de-8e707238671a,2320,2,00:12:23.117,57,23,Player On,96,Belgium,Regular Play,Ukraine,Vitalii Mykolenko,Left Wing Back,0.0,['239dfeb9-db35-43fc-a1ad-817d9ec66967'],3938645,782,911,20827,,
e514a150-1963-4d42-906b-11dcb8d1ba1c,2736,2,00:23:06.619,68,6,Player On,116,Belgium,Regular Play,Ukraine,Oleksandr Tymchyk,Right Wing Back,0.0,['f285b49d-828b-48fb-ad7b-cf5c72544001'],3938645,782,911,45863,,
e473e998-ea25-4b65-b5bf-17aecac5e134,1293,1,00:35:02.615,35,2,Player On,65,Turkey,Regular Play,Czech Republic,Lukáš Provod,Left Center Midfield,0.0,['62cc6efd-84a1-4655-a2dc-260a1763be1a'],3930184,909,912,28034,,
c7ee66e9-fddd-4bb6-ad90-9849970473e5,1360,1,00:39:10.126,39,10,Player On,67,Czech Republic,From Throw In,Czech Republic,Vladimír Coufal,Right Wing Back,0.0,['cfd43fd7-1bf6-44d9-acc4-22f15c0e8fae'],3930184,912,912,16570,,
9788efdc-e3ee-4d48-9fab-ab0b94ded8fb,2035,2,00:18:27.281,63,27,Player On,104,Czech Republic,From Throw In,Turkey,Samet Akaydin,Right Center Back,0.0,['c3fa630f-8484-4f88-b912-706beaceccf6'],3930184,912,909,133305,,
17135f37-577f-4c23-99d7-1a717b42f003,193,1,00:07:03.357,7,3,Player On,12,Austria,From Corner,Austria,Christoph Baumgartner,Center Attacking Midfield,0.0,['97974bbb-af19-4d9c-ba87-e3116a12a93f'],3941022,915,915,24977,,
15dcef14-1194-4567-a426-cd5a2f21fb85,154,1,00:05:42.257,5,42,Player On,10,Netherlands,From Throw In,Romania,Ianis Hagi,Left Midfield,0.0,['ef681438-f40d-42eb-95b7-2a9db86ffe6b'],3941021,941,905,28565,,
24b18066-f2ad-4e8e-becb-978e013188ba,990,1,00:33:41.701,33,41,Player On,51,Romania,From Free Kick,Netherlands,Denzel Dumfries,Right Back,0.0,['6e9cb0da-78b8-4dbe-a215-0e5347f28305'],3941021,905,941,8125,,
c9958633-fe96-4bb5-97f6-dc7839accc90,1153,1,00:37:48.409,37,48,Player On,57,Netherlands,Regular Play,Romania,Vasile Mogoș,Left Back,0.0,['e46b5fd0-8862-44b8-9107-4bc205f06516'],3941021,941,905,30839,,
23d46a44-b858-4bc9-9ad4-47d5dc0a906e,795,1,00:19:42.697,19,42,Player On,32,Portugal,From Throw In,Portugal,Nuno Mendes,Left Back,0.0,['e98000b7-ce35-417b-9a66-19de0eaf62fa'],3941020,780,780,41092,,
16b4a071-7fb6-4186-9012-284597b62985,661,1,00:14:25.572,14,25,Player On,20,Georgia,From Free Kick,Georgia,Giorgi Kochorashvili,Left Center Midfield,0.0,['3198e152-f823-440a-a9d0-c9dc7a9475fc'],3941018,2138,2138,41202,,
0f09f3e4-4a8b-43ba-8205-70d4768c5660,3269,2,00:31:28.625,76,28,Player On,118,Spain,Regular Play,Georgia,Georges Mikautadze,Right Center Forward,0.0,['575e5efe-56dc-433f-8c45-2ff1bc587f01'],3941018,772,2138,33234,,
76226dfc-c9bd-4adb-8779-2c2db2fe62c0,1072,1,00:26:52.497,26,52,Player On,34,England,From Kick Off,England,Marc Guehi,Left Center Back,0.0,['e512226a-d5e2-4e25-9c69-11374caef906'],3941017,768,768,34526,,
39d6a55e-22d5-4079-a01e-26dd777a9ccc,1571,1,00:40:38.891,40,38,Player On,52,England,Other,Slovakia,Denis Vavro,Right Center Back,0.0,['47e131f3-ea83-46ad-8867-af9ef8d3aab1'],3941017,768,908,16298,,
eba3959f-e3a5-48c4-94cb-f26e28beda70,2495,2,00:19:17.916,64,17,Player On,92,England,From Throw In,England,Kieran Trippier,Left Back,0.0,['c01f98e6-7dd8-4123-9184-a6fbf42d1877'],3941017,768,768,3308,,
59c575b5-f779-4654-8f41-d78724e04a59,2898,2,00:29:38.580,74,38,Player On,104,Slovakia,Regular Play,Slovakia,Tomáš Suslov,Left Wing,0.0,['48941d90-c482-4e38-8059-6dd5586eba2f'],3941017,908,908,35653,,
b49173db-2cb8-4092-8dd8-ea9f75e9885f,3367,2,00:34:49.030,79,49,Player On,136,Serbia,Regular Play,Serbia,Aleksandar Mitrović,Right Center Forward,0.0,['e6c3cef6-d39d-4da0-8971-030f479db9c7'],3930182,786,786,4269,,
b7f26378-f5cb-494d-8b12-1d543304a4d1,1035,1,00:25:50.367,25,50,Player On,47,Germany,From Throw In,Denmark,Andreas Christensen,Left Center Back,0.0,['57b0de90-3da6-4fba-ae8f-3d5dc303e878'],3940983,770,776,3959,,
8d570912-6afb-4475-a8f6-42163c8d62e6,1036,1,00:25:50.425,25,50,Player On,47,Germany,From Throw In,Germany,Kai Havertz,Center Forward,0.0,['ae467277-23a2-402d-a56e-c4f79eb3912b'],3940983,770,770,8966,,
8a2b180e-0741-415a-a2a8-bbb60ce3a8ab,2170,2,00:12:39.202,57,39,Player On,96,Germany,From Free Kick,Germany,Robert Andrich,Right Defensive Midfield,0.0,['5987d875-3bae-4c36-8c65-ac6bd50bfc52'],3940983,770,770,9195,,
ad0740f4-7783-4f46-af24-c0bd220be6f1,417,1,00:10:09.638,10,9,Player On,19,Switzerland,From Free Kick,Italy,Nicolò Barella,Left Center Midfield,0.0,['b8d876b5-881a-41cc-ae85-faa6fe4251ff'],3940878,773,914,8181,,
663d9e34-e4ae-4b7f-bb35-5bd119a721ae,1719,1,00:43:04.673,43,4,Player On,64,Switzerland,From Throw In,Italy,Giovanni Di Lorenzo,Right Back,0.0,['91390d11-baf3-4c33-9ab6-1c8c5d45468c'],3940878,773,914,11514,,
0b5425f7-d5b9-4e1b-a329-d8b2b7131439,541,1,00:11:22.255,11,22,Player On,17,Scotland,From Keeper,Scotland,Callum McGregor,Left Defensive Midfield,0.0,['5b9216e3-3ec9-4025-862c-326c6e41fdf2'],3930177,942,942,10534,,
e875fcee-142c-445b-a4c2-4dd7bc1cbfe0,2961,2,00:42:15.469,87,15,Player On,131,Scotland,From Free Kick,Scotland,Grant Campbell Hanley,Center Back,0.0,"['19a3d912-6009-40bf-bd20-9ac4562b0e6d', 'feffdf16-6ea8-4d07-9b1e-1b8dab51b09d']",3930177,942,942,9481,,True
05cb92be-571b-409f-8810-c4d8295a0c1c,3396,2,00:42:55.167,87,55,Player On,111,Netherlands,From Free Kick,France,Adrien Rabiot,Left Midfield,0.0,['a5ab614a-19a6-4b34-b855-e47cc5b6f9d6'],3930173,941,771,3026,,
ecb23673-4a44-4480-9c50-62d7b3a96f10,319,1,00:07:46.744,7,46,Player On,14,Italy,From Free Kick,Italy,Lorenzo Pellegrini,Left Wing,0.0,['87e5f070-833b-4e91-bdb8-b22f5e67caa8'],3930172,914,914,6963,,
e30fda4e-81c3-4bb6-9ca1-cff4e94d74bc,2614,2,00:20:27.242,65,27,Player On,113,Albania,Regular Play,Croatia,Josip Šutalo,Right Center Back,0.0,['be31e3ff-8ccc-40c7-84d6-ebe957a6f278'],3930167,906,785,37148,,
d2bd7e34-6f0b-4acb-82aa-a10573c688ec,999,1,00:25:19.821,25,19,Player On,40,Hungary,From Free Kick,Germany,Antonio Rüdiger,Right Center Back,0.0,['5753dcf7-160d-4634-a2a8-40e092e29e28'],3930168,916,770,3167,,
6f373424-4104-420f-8935-8a0a4ecb02df,1004,1,00:25:23.264,25,23,Player On,40,Hungary,From Free Kick,Hungary,Milos Kerkez,Left Wing Back,0.0,['80847e07-94a7-4dc1-980e-e2d2978dcb2c'],3930168,916,916,89635,,
2dde405d-f71f-4579-a1da-484bbb4cbf45,866,1,00:21:44.880,21,44,Player On,41,France,From Goal Kick,Austria,Florian Grillitsch,Left Defensive Midfield,0.0,['9f1acbdd-429d-49be-b0dc-aba6e21abcaa'],3930165,771,915,11396,,
1ddad483-920e-4f6c-8c19-66dab79f0155,1968,2,00:02:56.635,47,56,Player On,92,Austria,From Throw In,France,Antoine Griezmann,Center Attacking Midfield,0.0,['fcb55494-1100-4362-8bcf-9e4df40b0bd8'],3930165,915,771,5487,,
7ed6f105-ab52-429e-bf19-18237d4ba047,3326,2,00:43:43.512,88,43,Player On,153,Austria,From Throw In,France,Kylian Mbappé Lottin,Center Forward,0.0,['284ec420-5063-46f2-b5a3-778594c10fa8'],3930165,915,771,3009,,
