id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
fff260b9-f345-4dcd-86b4-fdfe99452543,2597,2,00:24:59.317,69,59,Error,111,England,From Goal Kick,Spain,Daniel Carvajal Ramos,Right Back,"[34.7, 48.7]",0.0,3943043,768,772,5721,,,
502a83d4-a602-4041-907a-16d00cdd6ddd,2461,2,00:27:27.019,72,27,Error,125,Austria,From Free Kick,Austria,Patrick Pentz,Goalkeeper,"[21.2, 58.5]",0.0,3930180,915,915,9731,True,['6dab436f-87fa-4c97-aa5f-aba4972ce5f4'],
8d533dfd-123a-40c0-bd92-8f8c4dfe2143,2042,2,00:01:30.543,46,30,Error,62,England,Regular Play,Switzerland,Ruben Vargas,Left Attacking Midfield,"[5.7, 23.2]",0.0,3942227,768,773,30401,True,['71ab05aa-0ce9-4d86-b30d-ed22ddfa22b2'],
a15d882f-a58c-4112-90c4-58c8eb3d3eef,2988,2,00:36:47.591,81,47,Error,134,Spain,From Goal Kick,Spain,Aymeric Laporte,Left Center Back,"[52.0, 40.1]",0.0,3942226,772,772,4353,,,
d648c990-331b-4ac8-9f75-7557f2521c1c,2063,2,00:20:22.314,65,22,Error,107,Czech Republic,From Throw In,Turkey,Fehmi Mert Günok,Goalkeeper,"[3.5, 36.1]",0.0,3930184,912,909,30310,,,
85019048-ce9a-4bdd-85e4-f6aea0715b58,1371,1,00:43:19.227,43,19,Error,64,Netherlands,Regular Play,Romania,Bogdan Racovițan,Left Center Back,"[1.8, 21.2]",0.0,3941021,941,905,45023,,,
90b56889-0660-44ba-a895-6a0ac6aa0b5e,3978,4,00:09:25.080,114,25,Error,201,Portugal,From Goal Kick,Portugal,Kléper Laveran Lima Ferreira,Left Center Back,"[45.9, 58.2]",0.0,3941020,780,780,20016,,,
47881494-0772-4120-983d-6d918522ee8b,2233,2,00:07:08.610,52,8,Error,86,Georgia,From Kick Off,Georgia,Giorgi Gvelesiani,Right Center Back,"[18.7, 61.5]",0.0,3941018,2138,2138,398886,,,
221752ac-833b-4f1f-9013-e317ae40f1cf,2779,2,00:17:17.346,62,17,Error,98,Georgia,Regular Play,Georgia,Giorgi Kochorashvili,Center Defensive Midfield,"[15.9, 57.4]",0.0,3941018,2138,2138,41202,True,['fa548e9b-1572-4471-b451-a4ba4269609c'],
5f996c72-0bdf-4f79-84a0-824f7e7b317e,2176,2,00:08:58.088,53,58,Error,78,Slovakia,Regular Play,England,Jude Bellingham,Center Attacking Midfield,"[51.5, 58.4]",0.0,3941017,908,768,30714,,,True
773b1bd8-d752-40ae-935a-32a2bf0484ae,1728,1,00:46:04.938,46,4,Error,72,Denmark,From Throw In,Germany,Nico Schlotterbeck,Left Center Back,"[12.0, 29.7]",0.0,3940983,776,770,24118,,,
573d51b6-dfd1-47ea-a6b1-ea456e2affc5,957,1,00:24:56.723,24,56,Error,41,Switzerland,Regular Play,Italy,Nicolò Barella,Left Center Midfield,"[38.8, 24.7]",0.0,3940878,773,914,8181,,,
511a7d47-8890-4320-9731-2f4e2395ee18,2105,2,00:06:03.126,51,3,Error,85,Italy,Regular Play,Switzerland,Fabian Lukas Schär,Right Center Back,"[12.6, 35.8]",0.0,3940878,914,773,5537,,,
