id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,duration,match_id,possession_team_id,team_id,player_id,injury_stoppage_in_chain,under_pressure,related_events
5e7ec936-b8bc-49cb-b54a-64c9d87473cb,1812,1,00:42:09.198,42,9,Injury Stoppage,60,France,From Goal Kick,France,Mike Maignan,Goalkeeper,0.0,3942349,771,771,3761,,,
78896750-a64c-4814-bdd7-2cdbea1ea3c0,2451,2,00:09:14.191,54,14,Injury Stoppage,85,Portugal,Regular Play,France,Kylian Mbappé Lottin,Left Center Forward,0.0,3942349,780,771,3009,,,
551d1f91-6b1f-49f4-a1b1-e412480eb860,2452,2,00:09:15.680,54,15,Injury Stoppage,85,Portugal,Regular Play,Portugal,Diogo Meireles Costa,Goalkeeper,0.0,3942349,780,780,32975,True,,
93fab850-1f21-4704-a092-cbc0d4d2de0f,3561,2,00:38:53.426,83,53,Injury Stoppage,118,Portugal,Regular Play,Portugal,Francisco Fernandes Conceição,Right Midfield,0.0,3942349,780,780,39624,,,
cfe7440d-ec1e-4bfc-9eb7-f06b8fcc8cc0,3562,2,00:38:54.461,83,54,Injury Stoppage,118,Portugal,Regular Play,France,Mike Maignan,Goalkeeper,0.0,3942349,780,771,3761,,,
dc3bc302-f12d-40a2-8121-5c9fec38fc1f,1300,1,00:34:38.611,34,38,Injury Stoppage,59,Netherlands,From Free Kick,Netherlands,Memphis Depay,Center Forward,0.0,3930180,941,941,2988,,,
69357119-5789-47a8-9767-fa06efdf3542,2037,2,00:09:01.713,54,1,Injury Stoppage,95,Netherlands,From Corner,Netherlands,Memphis Depay,Center Forward,0.0,3930180,941,941,2988,,,
669a642a-72ae-4d03-a495-e33ac4fdc24d,2038,2,00:09:03.096,54,3,Injury Stoppage,95,Netherlands,From Corner,Austria,Patrick Pentz,Goalkeeper,0.0,3930180,941,915,9731,,,
ba8df3b2-c4a4-4b0d-8ce5-a1a8052c5e1c,2390,2,00:24:01.526,69,1,Injury Stoppage,119,Netherlands,From Free Kick,Netherlands,Donyell Malen,Right Wing,0.0,3930180,941,941,15582,True,,
e97013fe-d1a2-4b38-9e40-04e298e4eb24,2391,2,00:24:06.923,69,6,Injury Stoppage,119,Netherlands,From Free Kick,Austria,Patrick Pentz,Goalkeeper,0.0,3930180,941,915,9731,,,
dc0e7404-d77b-492a-a462-2e6e7dc2702a,3092,2,00:47:45.810,92,45,Injury Stoppage,156,Netherlands,From Throw In,Netherlands,Bart Verbruggen,Goalkeeper,0.0,3930180,941,941,37274,,,
007fcd7b-c3ef-4f31-9939-f3651d2b4f6d,3093,2,00:47:45.810,92,45,Injury Stoppage,156,Netherlands,From Throw In,Austria,Leopold Querfeld,Right Center Back,0.0,3930180,941,915,152512,,,
56aa9870-182e-4444-9710-9253ea0500fd,434,1,00:08:28.329,8,28,Injury Stoppage,11,Denmark,From Keeper,England,Kyle Walker,Right Back,0.0,3930171,776,768,3205,,,
d00b129c-9928-4480-90ae-14a3d1a8b753,435,1,00:08:29.113,8,29,Injury Stoppage,11,Denmark,From Keeper,Denmark,Pierre-Emile Højbjerg,Left Defensive Midfield,0.0,3930171,776,776,3570,,,
d1948f5c-6619-4584-aa29-f556464a4d3d,2179,2,00:04:16.896,49,16,Injury Stoppage,68,Switzerland,From Keeper,Switzerland,Ruben Vargas,Left Attacking Midfield,0.0,3942227,773,773,30401,,,
42bb4fa6-e86c-4425-b595-4d9b05d9cab9,2238,2,00:05:55.724,50,55,Injury Stoppage,70,England,From Keeper,Switzerland,Remo Freuler,Right Defensive Midfield,0.0,3942227,768,773,6983,,,
38bef3ce-0b91-4a1f-a123-35266e9314dc,4000,3,00:07:20.677,97,20,Injury Stoppage,136,Switzerland,Regular Play,England,Harry Kane,Center Forward,0.0,3942227,773,768,10955,,,
e790ca8e-4c2d-4818-8bac-bbba025c1909,4307,4,00:00:20.593,105,20,Injury Stoppage,145,England,From Kick Off,England,Harry Kane,Center Forward,0.0,3942227,768,768,10955,,,
c54a17f2-f2a4-4331-b518-6c2e48cb2433,4418,4,00:03:01.133,108,1,Injury Stoppage,148,Switzerland,Regular Play,Switzerland,Ricardo Iván Rodríguez Araya,Left Center Back,0.0,3942227,773,773,5544,,,
4f43d0ad-ce72-464c-9275-5e7a5309b900,81,1,00:01:14.160,1,14,Injury Stoppage,6,Germany,From Keeper,Spain,Marc Cucurella Saseta,Left Back,0.0,3942226,770,772,17620,,,
f93e4f5e-f2c6-4b7a-ba0f-b7da656afa1f,129,1,00:03:26.308,3,26,Injury Stoppage,10,Spain,Regular Play,Spain,Pedro González López,Right Center Midfield,0.0,3942226,772,772,30486,,,
e5b2c46b-8458-4b35-924f-7f84c8ee97ed,130,1,00:04:10.800,4,10,Injury Stoppage,10,Spain,Regular Play,Germany,Manuel Neuer,Goalkeeper,0.0,3942226,772,770,5570,,,
cf583a92-6835-4818-a46a-2b316d9a065b,185,1,00:05:38.498,5,38,Injury Stoppage,12,Spain,From Free Kick,Spain,Pedro González López,Right Center Midfield,0.0,3942226,772,772,30486,,,
1b7c7617-9b2e-4052-874e-c1d283a95b28,186,1,00:05:52.018,5,52,Injury Stoppage,12,Spain,From Free Kick,Germany,Manuel Neuer,Goalkeeper,0.0,3942226,772,770,5570,,,
285313e8-6c64-4a76-876d-ce64b266f771,375,1,00:12:01.862,12,1,Injury Stoppage,16,Germany,From Goal Kick,Spain,Nicholas Williams Arthuer,Left Wing,0.0,3942226,770,772,68574,,,
a619a813-4e72-44c9-9195-6a318505cc26,4274,4,00:10:11.567,115,11,Injury Stoppage,199,Germany,Regular Play,Spain,José Ignacio Fernández Iglesias,Right Center Back,0.0,3942226,770,772,5202,,,
7ba9991a-86eb-4d9b-8596-120683c67612,4275,4,00:10:12.359,115,12,Injury Stoppage,199,Germany,Regular Play,Germany,Manuel Neuer,Goalkeeper,0.0,3942226,770,770,5570,True,,
1293ecbf-f261-4ff5-b663-68390efe0362,87,1,00:02:07.947,2,7,Injury Stoppage,6,Ukraine,Regular Play,Ukraine,Anatolii Trubin,Goalkeeper,0.0,3938645,911,911,37330,True,,
e9bfd9b4-bfe9-4e94-b2ef-c9d4b4420396,1640,1,00:38:36.498,38,36,Injury Stoppage,64,Belgium,From Goal Kick,Belgium,Koen Casteels,Goalkeeper,0.0,3938645,782,782,8240,,,
ed6a0e5c-82c6-4dd9-9b13-990bfc26450e,1641,1,00:38:39.792,38,39,Injury Stoppage,64,Belgium,From Goal Kick,Ukraine,Georgiy Sudakov,Left Center Midfield,0.0,3938645,782,911,38975,,,
5ac02ec7-4d9e-4ab6-9e20-17969a74bcd4,2733,2,00:21:34.086,66,34,Injury Stoppage,116,Belgium,Regular Play,Ukraine,Oleksandr Tymchyk,Right Wing Back,0.0,3938645,782,911,45863,,,
422c2fe5-fa46-4ec8-b937-fb7fcdee2e45,2734,2,00:22:16.962,67,16,Injury Stoppage,116,Belgium,Regular Play,Belgium,Koen Casteels,Goalkeeper,0.0,3938645,782,782,8240,,,
903227f6-371e-4dea-8021-02962f7639f1,3197,2,00:38:32.548,83,32,Injury Stoppage,142,Belgium,From Goal Kick,Ukraine,Oleksandr Tymchyk,Right Back,0.0,3938645,782,911,45863,,,
af511683-01c3-4d22-8027-7f4685b535c0,3363,2,00:42:46.889,87,46,Injury Stoppage,150,Ukraine,From Goal Kick,Ukraine,Taras Stepanenko,Left Defensive Midfield,0.0,3938645,911,911,11000,True,,
8ac87973-6043-42da-b8b9-db0901e8e9b4,3364,2,00:42:50.823,87,50,Injury Stoppage,150,Ukraine,From Goal Kick,Belgium,Timothy Castagne,Right Back,0.0,3938645,911,782,6989,,,
6d1265bb-dac5-464e-8fe1-c66a2ae72259,1278,1,00:33:23.382,33,23,Injury Stoppage,62,Czech Republic,From Throw In,Turkey,Fehmi Mert Günok,Goalkeeper,0.0,3930184,912,909,30310,,,
861ea9a8-7751-45d7-9a3a-6823a59e5a3d,1279,1,00:33:24.713,33,24,Injury Stoppage,62,Czech Republic,From Throw In,Czech Republic,Lukáš Provod,Left Center Midfield,0.0,3930184,912,912,28034,,,
7144140d-b133-40b6-80a7-74d3f336f643,1345,1,00:36:05.070,36,5,Injury Stoppage,65,Turkey,Regular Play,Czech Republic,Robin Hranáč,Center Back,0.0,3930184,909,912,81330,,,
