id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,location,duration,related_events,match_id,possession_team_id,team_id
a4926dc7-8aee-476f-b60b-3faaf023f3c1,2907,2,00:30:27.841,75,27,Own Goal For,103,Netherlands,From Corner,Netherlands,"[114.5, 32.7]",0.0,['df29ad85-26bc-4d74-a630-ed4535d5f31c'],3942382,941,941
695c3835-bbf6-435f-bee9-295a4bac0f7f,276,1,00:05:49.293,5,49,Own Goal For,9,Austria,Regular Play,Austria,"[108.1, 33.2]",0.0,['ecf76785-e8c2-490e-8c25-0660fcac48d5'],3930180,915,915
1ea308c6-0961-44d3-8149-d4ceda613a75,3676,2,00:39:30.038,84,30,Own Goal For,122,France,Regular Play,France,"[109.5, 49.1]",0.0,['66a8a3df-81c1-4f21-9b9c-1e3d1e408375'],3941019,771,771
e938824e-cedc-4897-aefe-1f122e595280,763,1,00:17:14.265,17,14,Own Goal For,25,Georgia,From Free Kick,Georgia,"[112.7, 36.6]",0.0,['a002024e-11e5-46c3-88e7-a0e71122c6c9'],3941018,2138,2138
9737a916-abc2-4112-a73f-3f9b2013e7fa,2373,2,00:09:04.885,54,4,Own Goal For,98,Spain,Regular Play,Spain,"[115.9, 41.6]",0.0,['ab05a114-88e5-4ed3-9cd7-19cf68eef8e9'],3930172,772,772
3d9702b7-5e0f-4755-84bb-3846369ae6c0,3022,2,00:30:44.807,75,44,Own Goal For,133,Croatia,Regular Play,Croatia,"[112.1, 37.6]",0.0,['d127b59d-1c50-4090-bf59-0c448315ee17'],3930167,785,785
b62812f6-ffce-4b58-bdfa-cc6050687ca5,1506,1,00:37:31.373,37,31,Own Goal For,75,France,Regular Play,France,"[115.2, 43.1]",0.0,['1fc2f652-d033-4ea7-88c7-ef2fa37c565d'],3930165,771,771
61c18c0a-a89c-4bb0-97a9-47c1ce0d2d58,1143,1,00:28:00.176,28,0,Own Goal For,42,Portugal,From Throw In,Portugal,"[99.9, 54.1]",0.0,['21fa7a32-cec8-4345-b023-c6581a7856a3'],3930174,780,780
0f259575-ec6c-467b-91b2-dce8a83bc50e,2796,2,00:23:52.209,68,52,Own Goal For,109,Portugal,From Throw In,Portugal,"[116.2, 39.2]",0.0,['ed70cbdb-8f32-4339-b1b1-3306f4733899'],3930166,780,780
deb84edb-b9fb-45a3-98e1-a6b1d256ea03,3100,2,00:41:32.702,86,32,Own Goal For,132,Scotland,From Free Kick,Scotland,"[109.8, 47.3]",0.0,['5f131b45-721a-4555-bc1b-a3dcf7f6ca8c'],3930158,942,942
