id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,under_pressure,related_events,match_id,clearance_head,clearance_body_part,possession_team_id,team_id,player_id,out,clearance_right_foot,clearance_aerial_won,clearance_left_foot,clearance_other,off_camera
e3b452d3-909b-4c6a-b74b-b9ba745ca31b,3429,2,00:42:25.785,87,25,Clearance,153,Croatia,From Free Kick,Albania,Arlind Afrim Ajeti,Right Center Back,"[21.5, 48.1]",0.0,True,['c712cbbc-0aa2-49bd-8fcd-3192d969b2f5'],3930167,True,Head,785,906,8291,,,,,,
66fcf8a8-d925-4796-bce4-2c73fa93adf1,3566,2,00:47:27.322,92,27,Clearance,157,Albania,Regular Play,Croatia,Josip Šutalo,Right Center Back,"[8.9, 46.6]",0.0,True,,3930167,,Right Foot,906,785,37148,,True,,,,
70bb783f-332c-443e-94d2-0befdbd5646a,3603,2,00:49:22.447,94,22,Clearance,160,Albania,From Throw In,Croatia,Josip Šutalo,Right Center Back,"[8.6, 50.1]",0.0,True,['611b6c3d-5bbf-4b54-b3eb-d9a1be46af03'],3930167,,Left Foot,906,785,37148,,,,True,,
36cc5ef1-ec5b-47bf-a238-cbab439fd7a1,3626,2,00:51:03.158,96,3,Clearance,161,Croatia,From Kick Off,Croatia,Josip Juranović,Right Back,"[68.5, 56.5]",0.0,True,"['025a9de5-535d-4c2f-adab-6fd19118cc56', '90e922e1-a231-4e24-a902-e351f612b3f4']",3930167,True,Head,785,785,29163,,,True,,,
280dd060-7f36-4f42-b4bc-dea032a0dd0a,3666,2,00:51:36.355,96,36,Clearance,162,Albania,Regular Play,Croatia,Martin Baturina,Left Wing,"[17.4, 39.4]",0.0,True,,3930167,,Right Foot,906,785,63505,,True,,,,
0f1f010b-8e63-4844-b8db-4bc1804437a9,21,1,00:00:12.172,0,12,Clearance,3,Hungary,Regular Play,Germany,Jonathan Tah,Left Center Back,"[23.2, 19.9]",0.0,True,"['7708e599-a560-4804-99e2-5f2d893dda28', 'fbbaf587-7085-4dcb-baf3-bf68c0ca459b']",3930168,True,Head,916,770,8221,,,True,,,
b16a2732-3709-471c-8c14-17c6d8a69779,197,1,00:03:22.442,3,22,Clearance,7,Germany,Regular Play,Hungary,Attila Fiola,Right Center Back,"[42.3, 46.8]",0.0,True,['507800f3-14e5-4746-bf57-2feffe4e1b51'],3930168,,Right Foot,770,916,11268,,True,,,,
49dd4c9d-354c-4323-ad5e-d96b4a90a751,255,1,00:04:46.300,4,46,Clearance,11,Hungary,From Keeper,Germany,Robert Andrich,Right Defensive Midfield,"[42.5, 67.9]",0.0,True,"['732b2dbc-9e7e-4fa7-ab73-1b8df6532878', '856c0467-7527-422d-8e37-81c1cf0fff55']",3930168,True,Head,916,770,9195,True,,True,,,
022bbb95-644a-419e-8d35-0c1f7fe9d107,259,1,00:05:10.618,5,10,Clearance,12,Hungary,From Throw In,Germany,Robert Andrich,Right Defensive Midfield,"[10.1, 51.8]",0.0,True,"['3c0f28f6-a51e-4e8a-b7e8-356d252ab70d', '84cd8412-975f-450e-8ee8-bcebb549fa64']",3930168,True,Head,916,770,9195,True,,True,,,
3a13d635-1c89-41ff-a845-88d81d0e2cc0,272,1,00:06:34.409,6,34,Clearance,14,Hungary,From Corner,Germany,Jonathan Tah,Left Center Back,"[5.4, 33.6]",0.0,True,['24b91859-4e5a-4428-a129-aad50e15f048'],3930168,True,Head,916,770,8221,,,,,,
