team,group
Germany,Group A
Hungary,Group A
Scotland,Group A
Switzerland,Group A
Albania,Group B
Croatia,Group B
Italy,Group B
Spain,Group B
Denmark,Group C
England,Group C
Serbia,Group C
Slovenia,Group C
Austria,Group D
France,Group D
Netherlands,Group D
Poland,Group D
Belgium,Group E
Romania,Group E
Slovakia,Group E
Ukraine,Group E
Czechia,Group F
Georgia,Group F
Portugal,Group F
Turkey,Group F
